STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
40,9.38,9.62,9.47535,0.04144728579774548,158.0,1.1,1.37,1.26685,0.040454635086724026,54.0,3.94,4.29,4.0954,0.045075935930383094,1.0,-0.13,-0.07,-0.10945,0.009808032422458644,36.0,0.04,0.09,0.058450000000000016,0.008780518207941944,6.0,-0.03,0.03,-0.01225,0.007578753195612059,12.0
41,9.35,9.58,9.460550000000001,0.04084357354590805,39.0,1.13,1.41,1.2934,0.03143946564431401,58.0,3.96,4.27,4.12415,0.04108865415172418,32.0,-0.14,-0.08,-0.11090000000000001,0.008011866199581717,45.0,0.02,0.08,0.05620000000000001,0.007717512552629894,12.0,-0.02,0.01,-0.01215,0.0063935514387545205,187.0
42,9.33,9.57,9.4427,0.04307795259758756,161.0,1.17,1.43,1.3232,0.03202748819373758,64.0,3.98,4.27,4.15695,0.04395676853454996,58.0,-0.13,-0.07,-0.11030000000000001,0.009268764750493992,39.0,0.03,0.07,0.05640000000000001,0.00842852300228219,13.0,-0.02,0.01,-0.0113,0.007232565243397393,13.0
43,9.3,9.55,9.4384,0.04700468061799803,161.0,1.14,1.43,1.32735,0.031929257742703644,52.0,3.99,4.27,4.1640999999999995,0.03745917778061877,68.0,-0.13,-0.08,-0.1105,0.008046738469715538,161.0,0.03,0.08,0.05610000000000001,0.008049223565040295,13.0,-0.02,0.01,-0.0118,0.006764613810115105,187.0
44,9.33,9.58,9.4346,0.04723176896962463,39.0,1.2,1.42,1.33195,0.027653164375890153,138.0,4.02,4.3,4.17115,0.03656743770077416,39.0,-0.13,-0.08,-0.11109999999999999,0.008590110593001698,39.0,0.04,0.08,0.05590000000000002,0.00729314746868593,13.0,-0.03,0.01,-0.0123,0.006834471449936711,26.0
45,8.84,9.17,8.9321,0.05219760530905609,1.0,1.64,1.89,1.8038999999999998,0.030996612718166502,55.0,4.75,5.17,5.034800000000001,0.06933945485796666,199.0,-0.13,-0.07,-0.10945,0.009284260875266268,41.0,0.04,0.13,0.061050000000000014,0.014435979357147891,199.0,-0.03,0.01,-0.011350000000000002,0.006377891501115397,159.0
46,9.25,9.87,9.54815,0.07528663560021796,1.0,1.14,1.51,1.3948000000000003,0.04394268994952401,56.0,3.31,4.11,3.8602,0.14030310046467256,1.0,-0.25,-0.05,-0.11250000000000002,0.021650635094610966,4.0,0.03,0.16,0.06435000000000002,0.016928600060253065,1.0,-0.04,0.08,-0.0121,0.01336375695678427,8.0
47,9.37,9.64,9.4837,0.04416231425095381,42.0,1.29,1.52,1.3961000000000001,0.03338847106412627,1.0,3.87,4.14,4.03505,0.0385097065686042,35.0,-0.12,-0.07,-0.11155000000000001,0.006715467221273586,45.0,0.04,0.08,0.056700000000000014,0.007944180259787664,7.0,-0.03,0.02,-0.011899999999999999,0.007168681887209112,14.0
48,9.34,9.63,9.48335,0.0465217959670518,39.0,1.27,1.5,1.4007999999999998,0.03601888393606884,65.0,3.87,4.14,4.03355,0.042613348847514894,161.0,-0.13,-0.07,-0.1107,0.008093824806604104,39.0,0.03,0.08,0.05550000000000001,0.008817596044274198,39.0,-0.02,0.01,-0.0115,0.006910137480542626,161.0
49,9.37,9.6,9.484100000000002,0.04056094180366125,40.0,1.26,1.46,1.38635,0.028092303216361546,65.0,3.88,4.15,4.036449999999999,0.0384174114172207,40.0,-0.13,-0.07,-0.11020000000000002,0.00787146746166177,40.0,0.03,0.08,0.056000000000000015,0.008426149773176359,40.0,-0.02,0.01,-0.01175,0.006514407110397691,40.0
50,9.35,9.64,9.48385,0.045614443984334556,38.0,1.22,1.46,1.38465,0.03238637830940652,62.0,3.89,4.11,4.0376,0.03416489426297117,38.0,-0.13,-0.08,-0.11095000000000002,0.006971190716082869,40.0,0.04,0.08,0.05585000000000001,0.008618439533929562,13.0,-0.03,0.01,-0.01195,0.006379459224730573,37.0
51,9.34,9.6,9.466999999999999,0.04928488612140644,38.0,1.14,1.45,1.32625,0.03742241975073233,52.0,3.92,4.26,4.099499999999999,0.04745260793676152,1.0,-0.13,-0.08,-0.1105,0.009836157786453,38.0,0.03,0.08,0.056000000000000015,0.008426149773176359,13.0,-0.03,0.01,-0.01225,0.008272696053887148,6.0
52,9.32,9.56,9.45125,0.04481001562151028,40.0,1.11,1.43,1.32375,0.03747582554127395,1.0,3.96,4.27,4.1331,0.04960231849419945,1.0,-0.13,-0.08,-0.11145000000000001,0.009077306869330792,40.0,0.02,0.09,0.05705000000000001,0.009581101189320568,7.0,-0.03,0.01,-0.01165,0.006984089060142346,8.0
53,9.32,9.57,9.44575,0.04677004917679693,37.0,1.17,1.43,1.3186000000000002,0.03549704213029587,62.0,3.96,4.28,4.152,0.04583666654546338,68.0,-0.13,-0.08,-0.11080000000000002,0.009075241043630741,37.0,0.03,0.08,0.05550000000000001,0.008587782018658834,6.0,-0.02,0.02,-0.0116,0.007310266752998826,37.0
54,9.32,9.57,9.44835,0.0458669543353382,38.0,1.17,1.41,1.3209000000000004,0.034988426657967926,137.0,4.0,4.25,4.1469,0.036991755838294615,58.0,-0.13,-0.08,-0.11125,0.00899652710772329,40.0,0.04,0.08,0.056000000000000015,0.008,13.0,-0.02,0.01,-0.011949999999999999,0.006685618894313375,6.0
55,9.13,9.74,9.4441,0.06658220482981916,40.0,1.15,1.5,1.3278000000000003,0.0380152600938097,55.0,3.99,4.36,4.15145,0.04536956579029603,38.0,-0.18,-0.07,-0.1106,0.014164744967700618,20.0,0.02,0.11,0.057050000000000003,0.010334287590347,13.0,-0.08,0.04,-0.012599999999999998,0.01136837719289785,15.0
56,8.83,9.01,8.919500000000001,0.03738649488786023,42.0,1.68,1.87,1.8011000000000001,0.027870952620963663,57.0,4.96,5.16,5.058450000000001,0.0305466446602569,138.0,-0.13,-0.08,-0.11085,0.008762277101301919,108.0,0.04,0.07,0.05575000000000001,0.0063590486709884505,7.0,-0.02,0.01,-0.01115,0.005493405137071178,165.0
