STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
37,8.65,9.02,8.81095,0.08199754569497789,2.0,0.73,0.98,0.8769499999999999,0.038094586229541864,2.0,5.02,5.74,5.464600000000001,0.13368934138516808,2.0,-0.14,-0.05,-0.10995,0.01262923196397944,40.0,-0.02,0.18,0.06000000000000002,0.030512292604784715,198.0,-0.04,0.01,-0.01195,0.0066104084593919,47.0
38,8.66,9.03,8.8141,0.07719579004064919,2.0,0.69,0.99,0.8741499999999999,0.04157255705390277,2.0,5.1,5.68,5.460799999999999,0.12252085536756588,198.0,-0.15,-0.07,-0.11165000000000001,0.012400705625084404,2.0,-0.03,0.14,0.05545,0.034041114846608655,2.0,-0.03,0.01,-0.01215,0.006773293142925382,186.0
39,8.68,9.04,8.81745,0.07541881396574723,198.0,0.72,0.98,0.86375,0.03941367148591971,198.0,5.1,5.67,5.4576,0.11437762018856659,198.0,-0.15,-0.07,-0.11205000000000002,0.011674652029075642,2.0,-0.0,0.13,0.052199999999999996,0.025790695996812493,2.0,-0.02,0.01,-0.01085,0.0059814295950048595,56.0
40,8.69,8.96,8.79255,0.05819791662937769,198.0,0.72,0.95,0.86145,0.03351712248985585,198.0,5.28,5.7,5.49965,0.08775179485343876,2.0,-0.14,-0.07,-0.11100000000000002,0.010816653826391968,198.0,-0.0,0.11,0.05705000000000001,0.022886622730319998,198.0,-0.02,0.01,-0.011199999999999998,0.005436910887627275,24.0
41,8.63,9.03,8.823450000000001,0.07627317680547988,1.0,0.68,0.97,0.8410500000000001,0.04030381495590708,1.0,5.09,5.7,5.44855,0.11661216703243277,1.0,-0.15,-0.06,-0.11074999999999999,0.012686114456365274,41.0,-0.01,0.14,0.05745000000000001,0.028478017838325757,3.0,-0.03,0.01,-0.01165,0.0062271582603945445,13.0
42,8.63,9.02,8.8133,0.07922190353683749,2.0,0.69,0.97,0.8364,0.04379543355191269,198.0,5.1,5.69,5.466799999999999,0.11969444431551535,2.0,-0.14,-0.08,-0.11225000000000002,0.012059747095192338,2.0,-0.01,0.14,0.04925000000000001,0.02643742612282822,2.0,-0.03,0.01,-0.011200000000000002,0.006523802572120036,45.0
43,8.68,9.05,8.82085,0.08209614789988622,2.0,0.67,0.94,0.83185,0.043566931266730266,2.0,5.0,5.67,5.45285,0.12965483986338494,2.0,-0.14,-0.07,-0.1105,0.012155245781143216,2.0,-0.01,0.15,0.06235000000000001,0.027766481592020262,2.0,-0.03,0.01,-0.0127,0.006535288822997803,178.0
44,8.66,9.04,8.80885,0.07443236863085838,2.0,0.68,0.96,0.8347999999999999,0.043289259637928665,198.0,5.2,5.68,5.47135,0.11702853284562699,2.0,-0.14,-0.05,-0.11125000000000002,0.012567318727556804,198.0,0.0,0.17,0.05530000000000001,0.03359925594414257,2.0,-0.03,0.01,-0.011800000000000001,0.006910861017268399,7.0
45,8.56,9.01,8.74335,0.09566753629105336,198.0,0.91,1.21,1.0519,0.05283360672905078,2.0,5.11,5.81,5.5417000000000005,0.14176780311481169,2.0,-0.17,0.01,-0.10980000000000001,0.020073863604199365,198.0,-0.01,0.16,0.06215000000000001,0.029544500334241566,2.0,-0.03,0.01,-0.0121,0.007251896303726356,3.0
46,8.67,9.04,8.8178,0.08023191384978913,2.0,0.66,0.95,0.8274000000000001,0.0426173673518203,198.0,5.12,5.72,5.458050000000001,0.12029005569871516,2.0,-0.14,-0.07,-0.11215000000000003,0.013633689889387977,2.0,-0.01,0.15,0.0533,0.030085046119293222,2.0,-0.02,0.01,-0.011549999999999998,0.005839306465668676,184.0
